Date_Column,TARGET,STOCK_PRICE_Open,VIX_Open,NASDAQ_Open,DOW_Open,SP_Open,Mkt-RF,SMB,HML,RMW,CMA,RF
2015-01-02,-0.0019187548789269759,31.270000457763672,17.760000228881836,4760.240234375,6480.5,2058.89990234375,-0.93,0.47,-0.39,-0.13,-0.21,0.0
2015-01-05,0.006060623022190526,31.350000381469727,19.190000534057617,4700.33984375,6466.68017578125,2054.43994140625,-0.12,-0.56,0.09,-0.26,0.1,0.0
2015-01-06,-0.00479691769537636,31.270000457763672,20.329999923706055,4666.85009765625,6344.9501953125,2022.1500244140625,-1.84,0.25,-0.65,0.16,-0.12,0.0
2015-01-07,-0.004098394417697934,31.719999313354492,20.149999618530273,4626.83984375,6294.43017578125,2005.550048828125,-1.04,-0.78,-0.26,0.54,0.04,0.0
2015-01-08,-0.004947428777278653,32.34000015258789,17.93000030517578,4689.5400390625,6360.60986328125,2030.6099853515625,1.19,0.16,-0.62,0.24,-0.14,0.0
2015-01-09,-0.005234051294289922,32.47999954223633,16.440000534057617,4744.47021484375,6468.4501953125,2063.449951171875,1.81,-0.1,-0.29,0.1,-0.2,0.0
2015-01-12,-0.0030609823820993425,32.66999816894531,18.020000457763672,4714.06982421875,6410.27001953125,2046.1300048828125,-0.85,-0.02,-0.49,-0.12,-0.18,0.0
2015-01-13,0.013382068951114911,32.880001068115234,18.209999084472656,4708.740234375,6377.240234375,2031.5799560546875,-0.79,0.35,-0.41,0.17,0.19,0.0
2015-01-14,-0.008382504360077113,32.209999084472656,22.8700008392334,4610.759765625,6355.68994140625,2018.4000244140625,-0.19,0.26,0.0,0.45,0.03,0.0
2015-01-15,0.007048713904611995,32.630001068115234,21.229999542236328,4657.4599609375,6325.43994140625,2013.75,-0.6,0.28,-0.55,0.2,-0.14,0.0
2015-01-16,-0.01579431115122575,32.290000915527344,22.799999237060547,4566.3798828125,6298.509765625,1992.25,-1.08,-0.94,0.62,0.7,0.6,0.0
2015-01-20,-0.003942895013796314,32.970001220703125,20.06999969482422,4655.83984375,6373.81982421875,2020.760009765625,1.36,0.5,-0.17,-0.31,-0.1,0.0
2015-01-21,0.008505431192915695,32.91999816894531,20.920000076293945,4641.9501953125,6390.009765625,2020.18994140625,0.11,-0.75,-0.49,0.03,-0.51,0.0
2015-01-22,-0.004285375334939079,32.66999816894531,17.979999542236328,4690.93017578125,6423.580078125,2034.300048828125,0.42,-0.92,0.57,0.2,-0.01,0.0
2015-01-23,0.012777553471043871,32.869998931884766,16.790000915527344,4748.18994140625,6516.77001953125,2062.97998046875,1.58,0.45,0.42,0.03,-0.12,0.0
2015-01-26,-0.010163166121072166,32.470001220703125,16.959999084472656,4752.35986328125,6458.7001953125,2050.419921875,-0.47,0.44,-0.76,-0.04,-0.58,0.0
2015-01-27,-0.008039527529575404,32.34000015258789,17.600000381469727,4698.22998046875,6460.39990234375,2047.8599853515625,0.43,0.57,-0.05,-0.42,-0.09,0.0
2015-01-28,0.01903589001209881,32.56999969482422,16.969999313354492,4740.68994140625,6401.72998046875,2032.3399658203125,-1.21,0.75,0.22,-0.37,0.51,0.0
2015-01-29,0.0025070487022438095,31.90999984741211,20.459999084472656,4635.72998046875,6320.16015625,2002.449951171875,-1.39,-0.18,-0.79,0.53,-0.18,0.0
2015-01-30,0.013261764296878843,31.670000076293945,20.229999542236328,4671.2099609375,6385.3798828125,2019.3499755859375,0.98,0.2,0.01,0.06,-0.35,0.0
2015-02-02,-0.006679360079691257,31.440000534057617,20.889999389648438,4650.60009765625,6275.81005859375,1996.6700439453125,-1.3,-0.82,0.02,-0.17,-0.44,0.0
2015-02-03,-0.005653275889232406,31.84000015258789,18.40999984741211,4693.25,6345.39990234375,2022.7099609375,1.25,-0.39,0.98,0.05,0.18,0.0
2015-02-04,-0.00312794443595607,31.969999313354492,17.81999969482422,4699.81005859375,6425.1201171875,2048.860107421875,1.49,0.25,0.47,0.07,0.43,0.0
2015-02-05,0.0015132940579626146,33.040000915527344,17.290000915527344,4729.64990234375,6419.77001953125,2043.449951171875,-0.35,-0.1,-0.21,0.33,-0.14,0.0
2015-02-06,-0.006371331623355114,32.959999084472656,16.290000915527344,4768.83984375,6484.080078125,2062.280029296875,1.1,0.44,-0.1,-0.52,-0.2,0.0
