"1","","TRAINING, ARIMA ONLY","TRAINING, ARIMA AND REG","TESTING, ARIMA ONLY","TESTING, ARIMA AND REG"
"2","AMZN","8.21892124197671e-05","8.07570415696284e-05","0.000288824220222403","0.000327793648376306"
"3","GE","6.34851560052851e-05","6.20232217350894e-05","0.000662956904351741","0.000693240508204268"
"4","T","3.58737373827812e-05","3.50040066410766e-05","0.000224526675604398","0.000243460867019186"
"5","PFE","4.05636312919005e-05","3.93765063008908e-05","0.00023484399708225","0.000257616974254083"
"6","GS","6.69553090857394e-05","6.59357033961164e-05","0.000411176518568679","0.000435581871964537"
